지역명,자치구명,건물용도,거래유형,면적구간,거래건수,신뢰등급,출처,매매가,매매가_25,매매가_75,보증금,보증금_25,보증금_75,월임대료,면적_중앙값,행정동ID_8자리
개포4동,강남구,연립다세대,월세,20-40㎡,115,높음,해당지역,,,,10000.0,,,45.0,29.7,11230710
개포4동,강남구,연립다세대,월세,40-60㎡,86,높음,해당지역,,,,15500.0,,,60.0,47.3,11230710
개포4동,강남구,연립다세대,월세,60-85㎡,21,보통,해당지역,,,,24000.0,,,60.0,69.8,11230710
개포4동,강남구,연립다세대,월세,85-135㎡,77,높음,자치구,,,,15000.0,,,115.0,105.5,11230710
개포4동,강남구,연립다세대,월세,135㎡초과,24,보통,자치구,,,,50000.0,,,375.0,164.1,11230710
개포4동,강남구,오피스텔,월세,20㎡이하,292,높음,자치구,,,,2000.0,,,83.5,17.6,11230710
개포4동,강남구,오피스텔,월세,20-40㎡,86,높음,법정동,,,,1000.0,,,85.0,32.4,11230710
개포4동,강남구,오피스텔,월세,40-60㎡,88,높음,자치구,,,,5000.0,,,140.0,47.7,11230710
개포4동,강남구,오피스텔,월세,60-85㎡,22,보통,자치구,,,,10000.0,,,250.0,73.3,11230710
개포4동,강남구,오피스텔,월세,85-135㎡,14,보통,자치구,,,,31250.0,,,260.0,94.6,11230710
개포4동,강남구,오피스텔,월세,135㎡초과,10,보통,자치구,,,,60000.0,,,650.0,180.3,11230710
