지역명,자치구명,건물용도,거래유형,면적구간,거래건수,신뢰등급,출처,기준금액,금액의미,기준금액_25,기준금액_75,면적_중앙값,월세_보증금,월세_임대료
개포4동,강남구,오피스텔,매매,20㎡이하,30,높음,자치구,20400.0,매매가,15600.0,24425.0,17.6,,
개포4동,강남구,오피스텔,매매,20-40㎡,19,보통,법정동,21800.0,매매가,21300.0,23750.0,32.4,,
개포4동,강남구,오피스텔,매매,40-60㎡,107,높음,자치구,41610.0,매매가,33000.0,50000.0,45.5,,
개포4동,강남구,오피스텔,매매,60-85㎡,19,보통,자치구,95000.0,매매가,65400.0,114750.0,74.8,,
개포4동,강남구,단독다가구,월세,20㎡이하,230,높음,자치구,64.2,월환산,54.6,74.4,19.0,1000.0,60.0
개포4동,강남구,단독다가구,월세,20-40㎡,72,높음,법정동,64.6,월환산,54.6,74.8,30.0,1000.0,54.5
개포4동,강남구,단독다가구,월세,40-60㎡,30,높음,법정동,102.4,월환산,93.6,121.0,46.9,5000.0,70.0
개포4동,강남구,단독다가구,월세,60-85㎡,216,높음,자치구,165.9,월환산,133.2,214.3,67.8,5000.0,120.0
개포4동,강남구,단독다가구,월세,85-135㎡,95,높음,자치구,205.8,월환산,158.7,271.5,100.7,10000.0,130.0
개포4동,강남구,단독다가구,월세,135㎡초과,46,높음,자치구,104.4,월환산,75.3,186.3,177.8,1000.0,82.5
개포4동,강남구,아파트,월세,20㎡이하,353,높음,자치구,81.0,월환산,39.7,89.6,14.7,6606.0,42.0
개포4동,강남구,아파트,월세,20-40㎡,101,높음,법정동,164.9,월환산,144.2,193.8,39.5,5000.0,130.0
개포4동,강남구,아파트,월세,40-60㎡,55,높음,해당지역,445.8,월환산,392.3,465.0,59.9,30000.0,240.0
개포4동,강남구,아파트,월세,60-85㎡,58,높음,해당지역,504.5,월환산,340.5,559.8,84.6,50000.0,172.5
개포4동,강남구,아파트,월세,85-135㎡,19,보통,해당지역,681.7,월환산,531.9,725.0,102.3,85000.0,200.0
